run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns
72,server,False,611447600,611.448,673178700,673.179,33,195074,7117309300
72,client,False,607843600,607.844,672072400,672.072,33,195074,7117309300
73,server,False,582096700,582.097,684597300,684.597,33,195074,7057529000
73,client,False,575067300,575.067,684975100,684.975,33,195074,7057529000
74,server,False,586129900,586.130,690055700,690.056,33,195074,7069216300
74,client,False,573931300,573.931,690081700,690.082,33,195074,7069216300
75,server,False,589828800,589.829,673944400,673.944,33,195074,7065375300
75,client,False,580472800,580.473,673791900,673.792,33,195074,7065375300
76,server,False,597911700,597.912,678321900,678.322,33,195074,7071703900
76,client,False,571978200,571.978,678314000,678.314,33,195074,7071703900
77,server,False,609031200,609.031,676922300,676.922,33,195074,7085865700
77,client,False,579546100,579.546,678641000,678.641,33,195074,7085865700
78,server,False,584598400,584.598,681736700,681.737,33,195074,7075857600
78,client,False,603429200,603.429,681091000,681.091,33,195074,7075857600
79,server,False,606805800,606.806,704951600,704.952,33,195074,7114989900
79,client,False,579693900,579.694,696954900,696.955,33,195074,7114989900
80,server,False,574831100,574.831,676318100,676.318,33,195074,7077002700
80,client,False,603985600,603.986,681250400,681.250,33,195074,7077002700
81,server,False,589704700,589.705,678957500,678.957,33,195074,7055942100
81,client,False,569501600,569.502,677186800,677.187,33,195074,7055942100
82,server,False,593005900,593.006,662668600,662.669,33,195074,7062559700
82,client,False,585574100,585.574,659734100,659.734,33,195074,7062559700
83,server,False,586887300,586.887,677101300,677.101,33,195074,7058105400
83,client,False,575240200,575.240,677365900,677.366,33,195074,7058105400
84,server,False,586814000,586.814,672018600,672.019,33,195074,7049982800
84,client,False,578710200,578.710,671982100,671.982,33,195074,7049982800
85,server,False,590712300,590.712,672427800,672.428,33,195074,7062306100
85,client,False,576801000,576.801,662001000,662.001,33,195074,7062306100
86,server,False,644895400,644.895,681494000,681.494,33,195074,7137833100
86,client,False,582984100,582.984,680841200,680.841,33,195074,7137833100
87,server,False,613616400,613.616,654492900,654.493,33,195074,7078599600
87,client,False,585147900,585.148,652615000,652.615,33,195074,7078599600
88,server,False,572980900,572.981,686177100,686.177,33,195074,7047078200
88,client,False,573078000,573.078,686919300,686.919,33,195074,7047078200
89,server,False,576823900,576.824,665691900,665.692,33,195074,7049471400
89,client,False,588422400,588.422,665023900,665.024,33,195074,7049471400
90,server,False,627508300,627.508,662086900,662.087,33,195074,7098640800
90,client,False,592546600,592.547,662737800,662.738,33,195074,7098640800
91,server,False,583219200,583.219,676933300,676.933,33,195074,7072203700
91,client,False,591735300,591.735,676345700,676.346,33,195074,7072203700
92,server,False,574246500,574.246,663469700,663.470,33,195074,7018098900
92,client,False,571287700,571.288,662689600,662.690,33,195074,7018098900
93,server,False,626488300,626.488,661815100,661.815,33,195074,7074026400
93,client,False,570795600,570.796,660676500,660.677,33,195074,7074026400
94,server,False,588198900,588.199,694676700,694.677,33,195074,7110196000
94,client,False,611109700,611.110,693779300,693.779,33,195074,7110196000
95,server,False,572701800,572.702,679697800,679.698,33,195074,7057666800
95,client,False,582364600,582.365,660442900,660.443,33,195074,7057666800
96,server,False,578219800,578.220,660992600,660.993,33,195074,7094540400
96,client,False,628706700,628.707,659561500,659.562,33,195074,7094540400
97,server,False,590214600,590.215,650016700,650.017,33,195074,7053920100
97,client,False,584550400,584.550,658474100,658.474,33,195074,7053920100
98,server,False,573186700,573.187,708648400,708.648,33,195074,7126814900
98,client,False,625220700,625.221,706588100,706.588,33,195074,7126814900
99,server,False,588383300,588.383,678886400,678.886,33,195074,7134103400
99,client,False,653066400,653.066,684065500,684.066,33,195074,7134103400
100,server,False,582253300,582.253,673405600,673.406,33,195074,7066081600
100,client,False,589800700,589.801,673209500,673.210,33,195074,7066081600
