run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
69,server,False,582206900,582.207,691423000,691.423,33,195074,7071410400,9080000,334952000,203509000,10184000,211000,416400,1829000,1135000,3519000,2112000,28701000,640934000,15386000,475300,178500
69,client,False,581980000,581.980,693671900,693.672,33,195074,7071410400,6208000,327609000,210380000,10134000,427800,408600,658400,1901000,3162000,4909000,28451000,634199000,22459000,38900,351400
70,server,False,603013300,603.013,706712000,706.712,33,195074,7095482600,10408000,338627000,215658000,11439000,237700,436900,686900,920400,4869000,2036000,28976000,642267000,28102000,17400,349300
70,client,False,576553200,576.553,706099000,706.099,33,195074,7095482600,6328000,328074000,209645000,9951000,218500,153100,307900,907100,3352000,3485000,28693000,638359000,31721000,219100,160900
71,server,False,581947100,581.947,689590300,689.590,33,195074,7075506400,9188000,324602000,211204000,10139000,230000,481400,662700,916900,4791000,2029000,29632000,637523000,14511000,859900,135500
71,client,False,585797200,585.797,690346200,690.346,33,195074,7075506400,6208000,334838000,206455000,9952000,218400,156100,4089000,1331000,3329000,4566000,29335000,638557000,14023000,49300,376900
72,server,False,581367500,581.367,704770200,704.770,33,195074,7072806900,10794000,332897000,200787000,10480000,220000,162800,327500,936600,3279000,3063000,28423000,644384000,25101000,246300,162100
72,client,False,573537700,573.538,703809100,703.809,33,195074,7072806900,6228000,328160000,205363000,9982000,189200,144000,303600,868300,3087000,2147000,28522000,646432000,23245000,14700,267000
73,server,False,585472200,585.472,719965600,719.966,33,195074,7103105700,10686000,327898000,212131000,10250000,210700,249600,750700,1201000,3156000,2605000,29315000,656555000,27914000,17800,309600
73,client,False,591105100,591.105,720110600,720.111,33,195074,7103105700,5653000,339202000,213282000,10024000,197900,148800,330700,849500,3294000,2631000,29481000,646555000,36226000,1671000,126800
74,server,False,599049900,599.050,696431700,696.432,33,195074,7076883300,9859000,341039000,212118000,10167000,439600,436300,857100,1066000,3503000,2807000,28322000,633312000,28009000,44700,330400
74,client,False,567701300,567.701,695737700,695.738,33,195074,7076883300,6265000,324390000,203368000,9876000,193800,158000,330800,903000,3509000,1998000,28400000,647887000,11284000,2415000,144000
75,server,False,589585600,589.586,697402600,697.403,33,195074,7158735500,10470000,329141000,214071000,11285000,232600,168400,456300,1821000,3319000,4732000,27415000,638573000,23011000,18000,234900
75,client,False,639078500,639.078,696440300,696.440,33,195074,7158735500,26179000,344893000,210378000,30946000,208700,156500,300900,1430000,4697000,1955000,28034000,628054000,33188000,247100,153700
76,server,False,601606300,601.606,687074900,687.075,33,195074,7118594300,9169000,345240000,213989000,10670000,256600,170200,343700,942100,6127000,2285000,31594000,630225000,16337000,43800,325800
76,client,False,579380500,579.380,702377900,702.378,33,195074,7118594300,6351000,330660000,207124000,9909000,492300,392600,659300,918400,3488000,20677000,31279000,632142000,12424000,2048000,137700
77,server,False,598057100,598.057,695687000,695.687,33,195074,7098245200,9991000,332317000,222055000,10186000,201000,155400,296100,1213000,3369000,3442000,28135000,635833000,24069000,601900,131100
77,client,False,590700800,590.701,695810100,695.810,33,195074,7098245200,6315000,335171000,213251000,12643000,365900,398400,722500,891000,4722000,2030000,28039000,640564000,19875000,30300,438800
78,server,False,596411900,596.412,710639700,710.640,33,195074,7108366200,10864000,332817000,213740000,11803000,213700,292000,735600,904600,3257000,5128000,27615000,643256000,29568000,1548000,149000
78,client,False,581026400,581.026,710102200,710.102,33,195074,7108366200,6015000,333018000,208610000,9990000,195500,145400,331100,889200,5277000,1954000,28293000,652165000,21884000,15600,407900
79,server,False,591943100,591.943,711385700,711.386,33,195074,7097887600,9758000,334972000,209355000,10284000,522400,431300,672500,1742000,3145000,5455000,27641000,645760000,28823000,314100,145800
79,client,False,584091400,584.091,708299300,708.299,33,195074,7097887600,6162000,330714000,211672000,10099000,190300,147000,2374000,905100,3270000,1981000,27849000,646975000,27822000,25300,284600
80,server,False,587608200,587.608,695056100,695.056,33,195074,7092230300,9911000,331694000,214559000,10344000,402300,505300,860900,962300,3109000,2852000,30909000,649251000,8524000,14800,306700
80,client,False,594249600,594.250,694202700,694.203,33,195074,7092230300,5599000,334172000,220897000,10199000,203600,159000,305300,1155000,3111000,2113000,30799000,652400000,5237000,299200,147200
81,server,False,582621700,582.622,705224300,705.224,33,195074,7145924800,10036000,327649000,210194000,10543000,503900,418600,687900,1048000,3181000,3830000,27790000,638255000,31630000,61300,357400
81,client,False,632131800,632.132,703859400,703.859,33,195074,7145924800,27653000,338393000,206551000,32745000,471500,410500,648600,1061000,3184000,1989000,28314000,647054000,20274000,2800000,137800
82,server,False,576499500,576.500,711735900,711.736,33,195074,7082448200,11131000,323393000,209024000,10177000,228700,168200,735300,925400,3319000,5542000,27430000,648222000,26762000,50500,301200
82,client,False,583919600,583.920,708394900,708.395,33,195074,7082448200,6327000,326443000,216226000,9867000,381200,425100,657500,902500,3243000,1929000,27932000,639942000,31601000,3496000,145300
83,server,False,593123100,593.123,709992300,709.992,33,195074,7094598800,10047000,337081000,208017000,10061000,224600,513300,739600,944300,3136000,3947000,29477000,643671000,28883000,631000,136900
83,client,False,579730900,579.731,708702000,708.702,33,195074,7094598800,6224000,329330000,210190000,9862000,206000,154600,303200,939700,3176000,1968000,29883000,638614000,34581000,37500,339400
84,server,False,592131500,592.131,695805300,695.805,33,195074,7079691600,8882000,328946000,216968000,10426000,234800,162800,371400,926000,3322000,2097000,28888000,638903000,22142000,214000,127600
84,client,False,582140500,582.140,696208200,696.208,33,195074,7079691600,5653000,331065000,207729000,9870000,514700,452000,686300,940000,3318000,2564000,28613000,640841000,20446000,13800,312600
85,server,False,593486100,593.486,696239600,696.240,33,195074,7079783600,10023000,341338000,210989000,10101000,219700,165200,345200,944600,3155000,2095000,27610000,638832000,22869000,1449000,136300
85,client,False,577493800,577.494,697537300,697.537,33,195074,7079783600,6275000,328675000,208183000,10141000,198300,151800,303000,936700,3287000,3338000,27370000,634254000,28805000,47500,316100
86,server,False,579649900,579.650,725805100,725.805,33,195074,7130433400,9994000,321357000,209089000,12065000,235000,209000,333900,930200,3317000,3789000,29074000,670288000,18830000,56100,333200
