run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
46,server,False,584716200,584.716,657134000,657.134,33,195074,7021568000,11853000,317864000,219837000,10953000,497700,484900,813700,1140000,3465000,3198000,27628000,609255000,13125000,200000,149300
46,client,False,567816100,567.816,655894200,655.894,33,195074,7021568000,6168000,319347000,211350000,11660000,198400,149000,287200,833900,3298000,1993000,27527000,605089000,17540000,16400,320400
47,server,False,568307700,568.308,656622100,656.622,33,195074,7016521300,10189000,311712000,212469000,9955000,213900,183500,308600,1008000,3260000,2062000,28677000,605509000,16650000,210000,162600
47,client,False,579376800,579.377,658232900,658.233,33,195074,7016521300,6154000,324547000,214418000,10641000,478000,460000,677500,830500,3325000,3459000,28574000,604698000,17709000,15700,355600
48,server,False,570985800,570.986,669354400,669.354,33,195074,7028254600,10024000,312832000,216906000,10160000,236800,156500,809100,1345000,4551000,2344000,26680000,608103000,23010000,4349000,186800
48,client,False,578691200,578.691,668090000,668.090,33,195074,7028254600,5766000,322200000,216037000,9812000,196300,144300,331900,1045000,3225000,1984000,26897000,616667000,18762000,50400,399000
49,server,False,598712600,598.713,657559000,657.559,33,195074,7032492400,9727000,332060000,220334000,11110000,225700,181100,316100,1319000,3222000,1909000,27777000,611596000,12328000,479900,140400
49,client,False,565507000,565.507,660098900,660.099,33,195074,7032492400,6054000,312785000,212104000,10040000,208400,156700,307900,892700,3233000,4902000,27315000,604829000,19353000,17300,359800
50,server,False,562485000,562.485,676932300,676.932,33,195074,7028533900,10283000,311663000,209468000,10223000,201300,174200,307900,903700,3159000,3001000,26919000,612780000,26523000,4301000,139100
50,client,False,579824400,579.824,676522700,676.523,33,195074,7028533900,6424000,327096000,212110000,10103000,498100,402900,694800,1197000,3331000,2002000,27132000,622459000,21112000,49300,330800
51,server,False,580613800,580.614,689066300,689.066,33,195074,7063937600,6448000,323564000,215937000,10103000,224000,163800,319400,846600,3530000,4039000,27701000,620795000,32511000,41200,340100
51,client,False,592058100,592.058,686954400,686.954,33,195074,7063937600,6310000,326836000,227949000,10606000,194800,161800,695000,842900,3463000,2112000,27565000,619131000,32820000,1617000,138600
52,server,False,618077300,618.077,665592400,665.592,33,195074,7061270900,10167000,326707000,248311000,10977000,348100,510800,685800,1189000,3194000,4437000,26669000,616773000,14090000,16200,321300
52,client,False,566633600,566.634,663618600,663.619,33,195074,7061270900,6277000,317888000,211777000,10130000,204500,149900,323600,854700,3377000,1913000,27263000,607909000,22551000,355300,149800
53,server,False,577242800,577.243,658498300,658.498,33,195074,7018521000,9855000,314861000,222404000,10331000,244800,186400,333700,1165000,3546000,1935000,28454000,612619000,11457000,16100,372700
53,client,False,567081500,567.082,659607500,659.607,33,195074,7018521000,6109000,318045000,210752000,9820000,206500,146200,290200,875700,3396000,3420000,28219000,616474000,7391000,425600,172200
54,server,False,561629800,561.630,672334900,672.335,33,195074,7027108500,9299000,307619000,209364000,12130000,225500,179600,313200,910400,3325000,2431000,28533000,612279000,25281000,36300,344300
54,client,False,575066200,575.066,672110200,672.110,33,195074,7027108500,6309000,317179000,218029000,9940000,499600,410300,689000,835500,3323000,2083000,28648000,608974000,26938000,1900000,137700
55,server,False,559660100,559.660,665298600,665.299,33,195074,7005405200,9258000,305337000,210735000,10360000,270800,164200,432500,964700,3350000,2156000,28842000,616396000,10126000,4178000,148800
55,client,False,570725400,570.725,666057400,666.057,33,195074,7005405200,6014000,322238000,212473000,10015000,198200,290900,380900,861600,3588000,2603000,28785000,615236000,15354000,46500,343200
56,server,False,590741500,590.741,671079700,671.080,33,195074,7042426100,9991000,315152000,231758000,10204000,239600,456700,698200,909700,3094000,1998000,27082000,617405000,19798000,1463000,138800
56,client,False,572964400,572.964,672025300,672.025,33,195074,7042426100,5984000,322389000,210826000,9721000,579000,417900,632700,845000,3084000,3158000,26673000,617369000,21267000,42700,321000
57,server,False,569187000,569.187,659215900,659.216,33,195074,7023110800,10411000,309180000,214602000,11045000,218900,159200,453800,949200,3156000,2003000,28179000,606320000,18667000,651500,138400
57,client,False,583813100,583.813,660490700,660.491,33,195074,7023110800,6033000,328205000,216349000,11486000,204200,159000,309100,839100,3312000,3210000,27881000,618843000,6788000,29400,308400
58,server,False,574858100,574.858,642246800,642.247,33,195074,7006381200,10012000,312803000,221349000,10041000,216400,162400,305000,925800,3261000,3959000,26555000,593799000,13072000,1370000,133500
58,client,False,574621300,574.621,640624400,640.624,33,195074,7006381200,6558000,324902000,210326000,9928000,198100,145500,298900,844300,3294000,1902000,26882000,593558000,14526000,41100,326200
